Media,Sample,4/28/25 Replicate #1,4/28/25 Replicate #2,4/29/25 Replicate #1,4/29/25 Replicate #2,4/30/25 Replicate #1,4/30/25 Replicate #2,5/1/25 Replicate #1,5/1/25 Replicate #2,5/2/25 Replicate #1,5/2/25 Replicate #2,,
No Na2HPO4,No Cyano,0.044,0.045,0.046,0.047,0.074,0.083,0.129,0.133,0.388,0.348,,
No Na2HPO4,Unfiltered Cyano,0.3,0.282,0.255,0.275,0.228,0.283,0.263,0.25,0.281,0.3,,
No Na2HPO4,Filtered Cyano,0.045,0.045,0.045,0.045,0.044,0.044,0.044,0.044,0.045,0.048,,
No Peptone,No Cyano,0.046,0.043,0.047,0.055,0.074,0.077,0.453,1.14,0.195,0.193,,
No Peptone,Unfiltered Cyano,0.177,0.151,0.158,0.177,0.167,0.181,0.148,0.151,0.184,0.258,,
No Peptone,Filtered Cyano,0.043,0.043,0.045,0.044,0.043,0.044,0.044,0.042,0.043,0.042,,
No Glucose,No Cyano,0.046,0.042,0.043,0.05,0.05,0.049,0.054,0.055,0.068,0.068,,
No Glucose,Unfiltered Cyano,0.363,0.352,0.304,0.339,0.315,0.321,0.325,0.315,0.382,0.38,,
No Glucose,Filtered Cyano,0.043,0.044,0.044,0.043,0.044,0.043,0.177,0.148,0.197,0.235,,
Regular HS,No Cyano,0.044,0.043,0.049,0.046,0.051,0.051,0.065,0.073,0.12,0.124,,
Regular HS,Unfiltered Cyano,0.214,0.221,0.387,0.416,0.434,0.468,0.41,0.386,0.49,0.482,,
Regular HS,Filtered Cyano,0.051,0.048,0.061,0.045,0.112,0.112,0.129,0.126,0.192,0.172,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Day:,0,1,2,3,4,,,,,,
,No Na2HPO4,No Cyano,0.0445,0.0465,0.0785,0.131,0.368,,,,,,
,,Unfiltered Cyano,0.291,0.265,0.2555,0.2565,0.2905,,,,,,
,,Filtered Cyano,0.045,0.045,0.044,0.044,0.0465,,,,,,
,No Peptone,No Cyano,0.0445,0.051,0.0755,0.7965,0.194,,,,,,
,,Unfiltered Cyano,0.164,0.1675,0.174,0.1495,0.221,,,,,,
,,Filtered Cyano,0.043,0.0445,0.0435,0.043,0.0425,,,,,,
,No Glucose,No Cyano,0.044,0.0465,0.0495,0.0545,0.068,,,,,,
,,Unfiltered Cyano,0.3575,0.3215,0.318,0.32,0.381,,,,,,
,,Filtered Cyano,0.0435,0.0435,0.0435,0.1625,0.216,,,,,,
,Control,No Cyano,0.0435,0.0475,0.051,0.069,0.122,,,,,,
,,Unfiltered Cyano,0.2175,0.4015,0.451,0.398,0.486,,,,,,
,,Filtered Cyano,0.0495,0.053,0.112,0.1275,0.182,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,time,No Na2HPO4 - No Cyano,No Na2HPO4 - Unfiltered Cyano,No Na2HPO4 - Filtered Cyano,No Peptone - No Cyano,No Peptone - Unfiltered Cyano,No Peptone - Filtered Cyano,No Glucose - No Cyano,No Glucose - Unfiltered Cyano,No Glucose - Filtered Cyano,Reg HS Media - No Cyano,Reg HS Media - Unfiltered Cyano,Reg HS Media - Filtered Cyano
,0,0.0445,0.291,0.045,0.0445,0.164,0.043,0.044,0.3575,0.0435,0.0435,0.2175,0.0495
,1,0.0465,0.265,0.045,0.051,0.1675,0.0445,0.0465,0.3215,0.0435,0.0475,0.4015,0.053
,2,0.0785,0.2555,0.044,0.0755,0.174,0.0435,0.0495,0.318,0.0435,0.051,0.451,0.112
,3,0.131,0.2565,0.044,0.7965,0.1495,0.043,0.0545,0.32,0.1625,0.069,0.398,0.1275
,4,0.368,0.2905,0.0465,0.194,0.221,0.0425,0.068,0.381,0.216,0.122,0.486,0.182